A1:389 , A2:356 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.10

A1:387 , A2:356 , A3:372 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.49

A1:389 , A2:357 , A3:370 , A4:242 , A5:133 , height_photoresistor:7, ultrasonic:-3.23

A1:389 , A2:357 , A3:373 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.64

A1:387 , A2:356 , A3:371 , A4:244 , A5:134 , height_photoresistor:7, ultrasonic:-3.52

A1:388 , A2:356 , A3:371 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.54

A1:389 , A2:356 , A3:372 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.68

A1:388 , A2:356 , A3:372 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.66

A1:388 , A2:357 , A3:370 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.10

A1:389 , A2:357 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.10

A1:388 , A2:356 , A3:371 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.22

A1:389 , A2:356 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.25

A1:389 , A2:356 , A3:372 , A4:243 , A5:135 , height_photoresistor:7, ultrasonic:-3.54

A1:388 , A2:356 , A3:371 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.25

A1:388 , A2:356 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.64

A1:390 , A2:357 , A3:372 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.52

A1:387 , A2:355 , A3:372 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.54

A1:388 , A2:356 , A3:370 , A4:243 , A5:134 , height_photoresistor:7, ultrasonic:-3.68

A1:389 , A2:357 , A3:372 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.27

A1:388 , A2:356 , A3:372 , A4:244 , A5:129 , height_photoresistor:7, ultrasonic:-3.08

A1:389 , A2:356 , A3:371 , A4:243 , A5:131 , height_photoresistor:7, ultrasonic:-3.51

A1:388 , A2:357 , A3:372 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.64

A1:388 , A2:356 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.23

A1:388 , A2:355 , A3:371 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.54

A1:390 , A2:356 , A3:372 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.13

A1:388 , A2:356 , A3:371 , A4:245 , A5:133 , height_photoresistor:7, ultrasonic:-3.27

A1:388 , A2:356 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.22

A1:388 , A2:356 , A3:372 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.10

A1:388 , A2:356 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.52

A1:388 , A2:355 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.10

A1:389 , A2:356 , A3:371 , A4:242 , A5:133 , height_photoresistor:7, ultrasonic:-3.25

A1:388 , A2:356 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-2.70

A1:387 , A2:355 , A3:370 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.54

A1:388 , A2:355 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.25

A1:389 , A2:356 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.64

A1:387 , A2:355 , A3:371 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.10

A1:387 , A2:356 , A3:371 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.54

A1:389 , A2:357 , A3:372 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.68

A1:388 , A2:355 , A3:371 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-2.84

A1:388 , A2:356 , A3:370 , A4:242 , A5:133 , height_photoresistor:7, ultrasonic:-2.68

A1:388 , A2:357 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-2.65

A1:385 , A2:356 , A3:371 , A4:245 , A5:133 , height_photoresistor:7, ultrasonic:-2.79

A1:388 , A2:357 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-2.79

A1:389 , A2:356 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.13

A1:387 , A2:356 , A3:370 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.25

A1:388 , A2:356 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.68

A1:390 , A2:358 , A3:372 , A4:244 , A5:134 , height_photoresistor:7, ultrasonic:-3.51

A1:387 , A2:356 , A3:371 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.10

A1:389 , A2:356 , A3:370 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.23

A1:389 , A2:357 , A3:371 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.27

A1:388 , A2:357 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.13

A1:388 , A2:356 , A3:371 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.54

A1:389 , A2:357 , A3:372 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-2.82

A1:388 , A2:355 , A3:372 , A4:244 , A5:134 , height_photoresistor:7, ultrasonic:-3.64

A1:388 , A2:356 , A3:370 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.54

A1:389 , A2:356 , A3:372 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.27

A1:389 , A2:357 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.68

A1:388 , A2:356 , A3:370 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.54

A1:389 , A2:357 , A3:372 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.51

A1:388 , A2:356 , A3:372 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.23

A1:387 , A2:355 , A3:371 , A4:243 , A5:131 , height_photoresistor:7, ultrasonic:-3.23

A1:391 , A2:356 , A3:371 , A4:242 , A5:130 , height_photoresistor:7, ultrasonic:-3.54

A1:389 , A2:355 , A3:370 , A4:242 , A5:127 , height_photoresistor:7, ultrasonic:-3.13

A1:383 , A2:352 , A3:367 , A4:239 , A5:130 , height_photoresistor:7, ultrasonic:-3.27

A1:329 , A2:330 , A3:365 , A4:236 , A5:130 , height_photoresistor:7, ultrasonic:-3.68

A1:325 , A2:282 , A3:350 , A4:236 , A5:130 , height_photoresistor:7, ultrasonic:-3.27

A1:295 , A2:280 , A3:359 , A4:239 , A5:130 , height_photoresistor:1, ultrasonic:-3.99

A1:264 , A2:294 , A3:365 , A4:240 , A5:129 , height_photoresistor:1, ultrasonic:-3.10

A1:247 , A2:286 , A3:367 , A4:242 , A5:131 , height_photoresistor:1, ultrasonic:-2.65

A1:221 , A2:282 , A3:366 , A4:242 , A5:130 , height_photoresistor:1, ultrasonic:-8.98

A1:164 , A2:279 , A3:367 , A4:243 , A5:130 , height_photoresistor:0, ultrasonic:-4.06

A1:153 , A2:278 , A3:369 , A4:244 , A5:131 , height_photoresistor:0, ultrasonic:-3.63

A1:152 , A2:279 , A3:368 , A4:241 , A5:131 , height_photoresistor:0, ultrasonic:-3.52

A1:173 , A2:266 , A3:367 , A4:240 , A5:130 , height_photoresistor:0, ultrasonic:-3.54

A1:260 , A2:253 , A3:364 , A4:240 , A5:130 , height_photoresistor:1, ultrasonic:-3.66

A1:289 , A2:327 , A3:364 , A4:239 , A5:130 , height_photoresistor:1, ultrasonic:-3.68

A1:377 , A2:346 , A3:365 , A4:238 , A5:129 , height_photoresistor:7, ultrasonic:-3.54

A1:383 , A2:350 , A3:365 , A4:238 , A5:129 , height_photoresistor:7, ultrasonic:-3.49

A1:381 , A2:349 , A3:366 , A4:239 , A5:129 , height_photoresistor:7, ultrasonic:-3.66

A1:382 , A2:349 , A3:365 , A4:238 , A5:130 , height_photoresistor:7, ultrasonic:-3.20

A1:383 , A2:349 , A3:365 , A4:239 , A5:130 , height_photoresistor:7, ultrasonic:-3.54

A1:382 , A2:349 , A3:365 , A4:239 , A5:128 , height_photoresistor:7, ultrasonic:-3.68

A1:382 , A2:349 , A3:364 , A4:238 , A5:129 , height_photoresistor:7, ultrasonic:-3.27

A1:384 , A2:350 , A3:365 , A4:239 , A5:129 , height_photoresistor:7, ultrasonic:-3.51

