GPRS disabled. running localy

A1:363 , A2:269 , A3:273 , A4:166 , A5:45 , height_photoresistor:7, ultrasonic:-20.02

A1:363 , A2:272 , A3:275 , A4:166 , A5:45 , height_photoresistor:7, ultrasonic:-10.04

A1:376 , A2:274 , A3:277 , A4:168 , A5:46 , height_photoresistor:11, ultrasonic:-8.77

A1:376 , A2:273 , A3:278 , A4:169 , A5:46 , height_photoresistor:11, ultrasonic:-9.77

A1:376 , A2:274 , A3:278 , A4:169 , A5:47 , height_photoresistor:11, ultrasonic:-8.82

A1:377 , A2:275 , A3:279 , A4:169 , A5:46 , height_photoresistor:11, ultrasonic:-10.06

A1:377 , A2:275 , A3:280 , A4:170 , A5:47 , height_photoresistor:11, ultrasonic:-10.06

A1:376 , A2:275 , A3:279 , A4:170 , A5:47 , height_photoresistor:11, ultrasonic:-9.20

A1:377 , A2:275 , A3:278 , A4:169 , A5:48 , height_photoresistor:11, ultrasonic:-9.20

A1:378 , A2:275 , A3:280 , A4:170 , A5:48 , height_photoresistor:11, ultrasonic:-9.37

A1:377 , A2:274 , A3:279 , A4:170 , A5:49 , height_photoresistor:11, ultrasonic:-10.04

A1:377 , A2:276 , A3:278 , A4:170 , A5:48 , height_photoresistor:11, ultrasonic:-9.18

A1:379 , A2:276 , A3:281 , A4:171 , A5:50 , height_photoresistor:11, ultrasonic:-9.20

A1:378 , A2:276 , A3:281 , A4:172 , A5:50 , height_photoresistor:11, ultrasonic:-10.06

A1:377 , A2:275 , A3:280 , A4:170 , A5:50 , height_photoresistor:11, ultrasonic:-10.04

A1:378 , A2:276 , A3:281 , A4:170 , A5:49 , height_photoresistor:11, ultrasonic:-10.09

A1:379 , A2:278 , A3:282 , A4:173 , A5:51 , height_photoresistor:11, ultrasonic:-9.77

A1:377 , A2:277 , A3:283 , A4:173 , A5:51 , height_photoresistor:11, ultrasonic:-10.18

A1:378 , A2:277 , A3:282 , A4:173 , A5:51 , height_photoresistor:11, ultrasonic:-10.06

A1:379 , A2:277 , A3:282 , A4:173 , A5:51 , height_photoresistor:11, ultrasonic:-10.47

A1:378 , A2:278 , A3:283 , A4:173 , A5:52 , height_photoresistor:11, ultrasonic:-10.06

A1:378 , A2:277 , A3:282 , A4:172 , A5:52 , height_photoresistor:11, ultrasonic:-10.06

A1:379 , A2:277 , A3:280 , A4:172 , A5:52 , height_photoresistor:11, ultrasonic:-10.09

A1:379 , A2:279 , A3:280 , A4:171 , A5:51 , height_photoresistor:11, ultrasonic:-10.06

A1:378 , A2:277 , A3:282 , A4:174 , A5:51 , height_photoresistor:11, ultrasonic:-9.18

A1:377 , A2:276 , A3:281 , A4:173 , A5:51 , height_photoresistor:11, ultrasonic:-10.06

A1:378 , A2:277 , A3:281 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-9.20

A1:378 , A2:278 , A3:282 , A4:172 , A5:50 , height_photoresistor:11, ultrasonic:-9.65

A1:377 , A2:277 , A3:281 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-10.06

A1:378 , A2:277 , A3:281 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-9.37

A1:379 , A2:277 , A3:281 , A4:173 , A5:49 , height_photoresistor:11, ultrasonic:-10.09

A1:379 , A2:277 , A3:282 , A4:173 , A5:50 , height_photoresistor:11, ultrasonic:-9.20

A1:377 , A2:277 , A3:281 , A4:172 , A5:50 , height_photoresistor:11, ultrasonic:-9.20

A1:377 , A2:276 , A3:281 , A4:171 , A5:51 , height_photoresistor:11, ultrasonic:-9.65

A1:378 , A2:277 , A3:282 , A4:172 , A5:50 , height_photoresistor:11, ultrasonic:-10.08

A1:378 , A2:276 , A3:282 , A4:173 , A5:51 , height_photoresistor:11, ultrasonic:-10.09

A1:378 , A2:276 , A3:281 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-10.47

A1:379 , A2:276 , A3:281 , A4:171 , A5:51 , height_photoresistor:11, ultrasonic:-10.47

A1:378 , A2:276 , A3:280 , A4:172 , A5:50 , height_photoresistor:11, ultrasonic:-10.06

A1:378 , A2:277 , A3:281 , A4:172 , A5:52 , height_photoresistor:11, ultrasonic:-10.18

A1:377 , A2:276 , A3:280 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-10.47

A1:378 , A2:278 , A3:281 , A4:173 , A5:51 , height_photoresistor:11, ultrasonic:-10.04

A1:377 , A2:277 , A3:282 , A4:173 , A5:51 , height_photoresistor:11, ultrasonic:-10.09

A1:377 , A2:275 , A3:281 , A4:171 , A5:50 , height_photoresistor:11, ultrasonic:-10.06

A1:379 , A2:277 , A3:280 , A4:172 , A5:49 , height_photoresistor:11, ultrasonic:-10.04

A1:379 , A2:278 , A3:280 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-10.61

A1:378 , A2:276 , A3:282 , A4:172 , A5:50 , height_photoresistor:11, ultrasonic:-10.50

A1:377 , A2:275 , A3:280 , A4:171 , A5:51 , height_photoresistor:11, ultrasonic:-9.20

A1:378 , A2:277 , A3:282 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-9.20

A1:378 , A2:275 , A3:282 , A4:172 , A5:50 , height_photoresistor:11, ultrasonic:-9.20

A1:377 , A2:276 , A3:280 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-10.47

A1:379 , A2:276 , A3:281 , A4:170 , A5:50 , height_photoresistor:11, ultrasonic:-10.20

A1:379 , A2:277 , A3:281 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-10.49

A1:376 , A2:276 , A3:281 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-9.61

A1:377 , A2:276 , A3:279 , A4:171 , A5:50 , height_photoresistor:11, ultrasonic:-9.20

A1:378 , A2:276 , A3:281 , A4:170 , A5:50 , height_photoresistor:11, ultrasonic:-10.20

A1:377 , A2:276 , A3:280 , A4:172 , A5:50 , height_photoresistor:11, ultrasonic:-10.06

A1:377 , A2:276 , A3:280 , A4:170 , A5:50 , height_photoresistor:11, ultrasonic:-9.20

A1:376 , A2:276 , A3:280 , A4:171 , A5:49 , height_photoresistor:11, ultrasonic:-9.22

A1:378 , A2:277 , A3:281 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-10.09

