A1:327 , A2:294 , A3:303 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.20
A1:326 , A2:294 , A3:302 , A4:201 , A5:109 , height_photoresistor:7, ultrasonic:-0.64
A1:327 , A2:293 , A3:301 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.23
A1:327 , A2:294 , A3:304 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.64
A1:327 , A2:294 , A3:302 , A4:201 , A5:109 , height_photoresistor:7, ultrasonic:-0.64
A1:328 , A2:295 , A3:303 , A4:202 , A5:109 , height_photoresistor:7, ultrasonic:-0.63
A1:327 , A2:294 , A3:302 , A4:201 , A5:109 , height_photoresistor:7, ultrasonic:-0.66
A1:326 , A2:294 , A3:300 , A4:202 , A5:107 , height_photoresistor:7, ultrasonic:-0.66
A1:330 , A2:297 , A3:305 , A4:204 , A5:110 , height_photoresistor:7, ultrasonic:-0.64
A1:326 , A2:294 , A3:302 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.64
A1:330 , A2:296 , A3:306 , A4:206 , A5:111 , height_photoresistor:7, ultrasonic:-0.63
A1:335 , A2:299 , A3:307 , A4:205 , A5:111 , height_photoresistor:7, ultrasonic:-0.66
A1:331 , A2:299 , A3:305 , A4:205 , A5:111 , height_photoresistor:7, ultrasonic:-0.64
A1:331 , A2:297 , A3:305 , A4:204 , A5:110 , height_photoresistor:7, ultrasonic:-0.66
A1:330 , A2:297 , A3:304 , A4:205 , A5:110 , height_photoresistor:7, ultrasonic:-0.64
A1:326 , A2:295 , A3:303 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.63
A1:327 , A2:294 , A3:302 , A4:203 , A5:109 , height_photoresistor:7, ultrasonic:-0.54
A1:332 , A2:298 , A3:307 , A4:205 , A5:111 , height_photoresistor:7, ultrasonic:-0.68
A1:331 , A2:297 , A3:305 , A4:204 , A5:110 , height_photoresistor:7, ultrasonic:-0.51
A1:327 , A2:294 , A3:302 , A4:201 , A5:109 , height_photoresistor:7, ultrasonic:-0.64
A1:326 , A2:293 , A3:301 , A4:202 , A5:109 , height_photoresistor:7, ultrasonic:-0.54
A1:326 , A2:294 , A3:302 , A4:201 , A5:109 , height_photoresistor:7, ultrasonic:-0.66
A1:331 , A2:298 , A3:306 , A4:204 , A5:109 , height_photoresistor:7, ultrasonic:-0.56
A1:332 , A2:298 , A3:307 , A4:206 , A5:110 , height_photoresistor:7, ultrasonic:-0.63
A1:332 , A2:299 , A3:307 , A4:205 , A5:112 , height_photoresistor:7, ultrasonic:-0.54
A1:333 , A2:299 , A3:308 , A4:205 , A5:111 , height_photoresistor:7, ultrasonic:-0.21
A1:332 , A2:299 , A3:308 , A4:207 , A5:111 , height_photoresistor:7, ultrasonic:-0.54
A1:330 , A2:297 , A3:304 , A4:204 , A5:111 , height_photoresistor:7, ultrasonic:-0.68
A1:329 , A2:296 , A3:303 , A4:202 , A5:109 , height_photoresistor:7, ultrasonic:-0.63
A1:329 , A2:298 , A3:305 , A4:205 , A5:110 , height_photoresistor:7, ultrasonic:-0.66
A1:345 , A2:309 , A3:318 , A4:213 , A5:115 , height_photoresistor:7, ultrasonic:-0.63
A1:345 , A2:310 , A3:319 , A4:214 , A5:115 , height_photoresistor:7, ultrasonic:-0.23
A1:343 , A2:309 , A3:316 , A4:213 , A5:116 , height_photoresistor:7, ultrasonic:-0.68
A1:345 , A2:310 , A3:318 , A4:211 , A5:114 , height_photoresistor:7, ultrasonic:-0.63
A1:346 , A2:311 , A3:320 , A4:214 , A5:116 , height_photoresistor:7, ultrasonic:-0.66
A1:346 , A2:311 , A3:319 , A4:214 , A5:114 , height_photoresistor:7, ultrasonic:-0.64
A1:351 , A2:316 , A3:324 , A4:216 , A5:116 , height_photoresistor:7, ultrasonic:-0.61
A1:348 , A2:315 , A3:325 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.66
A1:350 , A2:315 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-0.63
A1:352 , A2:317 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-0.64
A1:351 , A2:315 , A3:325 , A4:217 , A5:118 , height_photoresistor:7, ultrasonic:-0.66
A1:350 , A2:314 , A3:324 , A4:216 , A5:116 , height_photoresistor:7, ultrasonic:-0.63
A1:351 , A2:316 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:351 , A2:315 , A3:325 , A4:218 , A5:116 , height_photoresistor:7, ultrasonic:-0.64
A1:351 , A2:315 , A3:324 , A4:216 , A5:117 , height_photoresistor:7, ultrasonic:-0.66
A1:352 , A2:316 , A3:325 , A4:216 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:351 , A2:316 , A3:324 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-0.63
A1:350 , A2:315 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:315 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.11
A1:349 , A2:314 , A3:325 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.63
A1:351 , A2:315 , A3:324 , A4:216 , A5:116 , height_photoresistor:7, ultrasonic:-1.00
A1:351 , A2:316 , A3:325 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-1.12
A1:348 , A2:315 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.00
A1:350 , A2:315 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-1.12
A1:350 , A2:316 , A3:324 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-1.00
A1:350 , A2:315 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:316 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:315 , A3:325 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-1.09
A1:349 , A2:315 , A3:325 , A4:217 , A5:118 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:315 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:315 , A3:325 , A4:217 , A5:118 , height_photoresistor:7, ultrasonic:-1.09
A1:349 , A2:315 , A3:323 , A4:215 , A5:117 , height_photoresistor:7, ultrasonic:-1.12
A1:352 , A2:316 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.11
